"93091","2511","ART","461","Wilf","Beginning Painting I",2,"Aurich; Carla",0,12,12,0,5,5,"W}1845}2035}MUSS}MU107","",""
"90692","3005","ART","231","Wilf","Introduction to Graphic Design",3,"Gil; Ramon",0,16,16,0,5,5,"M||W}1500}1615}BELFHL}B1111","",""
"93092","3012","ART","332","Wilf","Introduction to Photography",3,"Grimaldi; Michael",0,10,10,0,5,5,"T}1500}1730}BELFHL}B1111","",""
"91597","1050","ARTS","B","Beren","Introduction to Art",3,"Miller; Marlee",0,30,30,0,10,10,"M||W}1025}1140}LEX215}LX717","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req"
"91564","1051","ARTS","L","Beren","History of Art I",3,"Wisse; Jacob",0,30,30,0,10,10,"T||R}1150}1305}TBA}","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req"
"93209","1432","ARTS","J","Beren","Late 19th Century Art",3,"Young; Marnin",0,30,30,0,10,10,"T||R}0900}1015}TBA}","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req"
"91950","1637","ARTS","FRI","Beren","NYC Architecture and Urban Design",3,"Novick; Aviva",0,15,15,0,10,10,"F}0930}1200}LEX215}LX717","INTR","ST-Interpreting Lit &amp; Arts"
"93088","1973","ARTS","K","Beren","Topics in Art History: Masterpieces of Art Across the Ages",3,"Wisse; Jacob",0,30,30,0,10,10,"T||R}1025}1140}LEX215}LX717","INTR||SYHM","ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req"
"93208","1974","ARTS","N","Beren","Topics in Art History: Civic Art &amp; Culture: Modern Era",3,"Wisse; Jacob",0,15,15,0,10,10,"T||R}1500}1615}TBA}","HONR||INTR||SYHM","Honors Course||ST-Interpreting Lit &amp; Arts||Sy Syms-UG Humanities Req"
"91569","2201","ARTS","A","Beren","Principles of Design",3,"Creede; Mary Therese",0,10,10,0,0,0,"M||W}0900}1015}LEX215}LX801","MSEL","ST-ENG Media Studies Elec"
"91555","2301","ARTS","K","Beren","Principles of Drawing",3,"Tullius; Traci",0,10,10,0,0,0,"T||R}1025}1140}LEX215}LX804","",""
"93207","2511","ARTS","B","Beren","Painting Fundamentals",3,"Creede; Mary Therese",0,10,10,0,0,0,"M||W}1025}1140}LEX215}LX804","",""
"93206","2703","ARTS","D1","Beren","Model Making",3,"Creede; Mary Therese",0,10,10,0,10,10,"M||W}1325}1440}LEX215}LX804","",""
"93205","2901","ARTS","L","Beren","Printmaking",3,"Tullius; Traci",0,10,10,0,10,10,"T||R}1150}1305}LEX215}LX803","",""
"91581","3009","ARTS","B","Beren","Introduction to Computer Design",3,"Singer; Emily A.",0,10,10,0,10,10,"M||W}1025}1140}LEX215}LX809","MSEL","ST-ENG Media Studies Elec"
"91699","3012","ARTS","KLT","Beren","Digital Photography",3,"Grimaldi; Michael",0,10,10,0,10,10,"T}1030}1300}LEX215}LX809","MSEL","ST-ENG Media Studies Elec"
"93211","3014","ARTS","C","Beren","Typography",3,"Singer; Emily A.",0,10,10,0,10,10,"M||W}1155}1310}LEX215}LX809","MSEL","ST-ENG Media Studies Elec"
"91598","4974","ARTS","CLB","Beren","Pre-Senior Project",0,"Tullius; Traci",0,12,12,0,10,10,"W}1441}1534}LEX215}LX804","",""
"91608","4975","ARTS","TBA","Beren","Senior Project",1,"Tullius; Traci",0,12,12,0,10,10,"}N/A}N/A}TBA}","",""
"93093","2110","BIB","311","Wilf","Joshua/Judges",2,"Carmy; Shalom",0,20,20,0,5,5,"T}1305}1445}TBA}","",""
"93094","2110","BIB","511","Wilf","Joshua/Judges",2,"Carmy; Shalom",0,20,20,0,5,5,"R}1305}1445}TBA}","",""
"93095","2700","BIB","311","Wilf","Psalms",2,"Angel; Joseph L.",0,15,15,0,5,5,"T}1305}1445}TBA}","HONR","Honors Course"
"93096","2700","BIB","511","Wilf","Psalms",2,"Angel; Joseph L.",0,25,25,0,5,5,"R}1305}1445}TBA}","",""
"93097","2810","BIB","311","Wilf","Prophecies for Bayit Sheini: Chaggai; Zechariah; Malachi",2,"Grunhaus; Naomi Cohen",0,25,25,0,5,5,"T}1305}1445}TBA}","",""
"93098","2810","BIB","511","Wilf","Prophecies for Bayit Sheini: Chaggai; Zechariah; Malachi",2,"Grunhaus; Naomi Cohen",0,25,25,0,5,5,"R}1305}1445}TBA}","",""
"93326","6095","BIBL","ABC","Beren","Peshat and Derash in Medieval Ashkenazic Exegesis",2,"Levine; Michelle J.",0,5,5,0,0,0,"M||W}0900}1100}SCW}BEIT MDRSH::M||W}1116}1245}SCW}606","",""
"91870","6700","BIBL","MNP","Beren","Independent Study - Bible",3,"Price; Nechama Esther",0,5,5,0,0,0,"M||W}0900}1100}SCW}BEIT MDRSH::M||W}1116}1245}SCW}606","",""
"93327","6900","BIBL","JKL","Beren","Top: Villains of Genesis",3,"Price; Nechama Esther",0,20,20,0,0,0,"T||R}0900}1030}SCW}606::T||R}1045}1245}SCW}BEIT MDRSH","",""
"91954","1105","BBLE","L","Beren","Introduction to Genesis: Personal Development in the Bible Part I",2,"Schechter; Shoshana",0,30,30,0,10,10,"T||R}1150}1305}SCW}718","JS1||JS7","Beren JS - Elementary||Beren JS - Fundamentals"
"91955","1120","BBLE","K","Beren","Genesis",2,"Schechter; Shoshana",0,30,30,0,10,10,"T||R}1025}1140}SCW}301","JS5||JS7","Beren JS - Upper-Inter-Adv||Beren JS - Fundamentals"
"91956","1125","BBLE","K","Beren","Genesis Part I",2,"Bloom; Danielle",0,20,20,0,10,10,"T||R}1025}1140}TBA}","JS3||JS7","Beren JS - Intermediate||Beren JS - Fundamentals"
