"90497","1002","ACC","341","Wilf","Accounting Principles II","3","Mayer; Steve","0","30","30","0","10","10","T||R}1630}1745}FURST}F314","SYBC","Sy Syms-UG Business Core","","","ACC1001;;IDS1015|IDS1020;;IDS1010","","Accounting for current and long-term liabilities; stockholders' equity; statement of cash flows; introduction to management accounting; cost behavior; and break-even analysis. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): ACC 1001; and IDS 1015 or IDS 1020 may be taken as prerequisite or corequisite; and IDS 1010 or equivalent."
"90517","1002","ACC","361","Wilf","Accounting Principles II","3","Mayer; Steve","0","30","30","0","10","10","T||R}1845}2000}FURST}","SYBC","Sy Syms-UG Business Core","","","ACC1001;;IDS1015|IDS1020;;IDS1010","","Accounting for current and long-term liabilities; stockholders' equity; statement of cash flows; introduction to management accounting; cost behavior; and break-even analysis. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): ACC 1001; and IDS 1015 or IDS 1020 may be taken as prerequisite or corequisite; and IDS 1010 or equivalent."
"90431","1002","ACC","D1","Beren","Accounting Principles II","3","Huang; Henry","0","30","30","0","5","5","M}1325}1440}LEX215}::W}1325}1440}TBA}","SYBC","Sy Syms-UG Business Core","","","ACC1001;;IDS1015|IDS1020;;IDS1010","","Accounting for current and long-term liabilities; stockholders' equity; statement of cash flows; introduction to management accounting; cost behavior; and break-even analysis. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): ACC 1001; and IDS 1015 or IDS 1020 may be taken as prerequisite or corequisite; and IDS 1010 or equivalent."
"93350","1003","ACC","231","Wilf","Foundations of Financial Accounting I","3","Staff","0","20","20","0","0","0","M||W}1430}1545}TBA}","KZAS","Katz AS Program","IDS1001;;IDS1011","","","","Companies track their finances and communicate their performance to outsiders according to general accepted accounting principles (GAAP). The course is designed to provide an understanding of financial accounting fundamentals for prospective users managers. Students will develop entry-level skills for segmenting; recording; and reporting basic financial data. They will also develop basic technical skills needed to analyze financial statement. Only open to Katz Associates Program students. Prerequisite(s): IDS 1001; IDS 1011 or equivalent."
"90483","1101","ACC","231","Wilf","Intermediate Accounting I","3","Resnik; Jim","0","30","30","0","10","10","M||W}1500}1615}FURST}F206","","","","","ACC1002;;ENT1020;;FIN1001;;IDS1020;;MAR1001","","Intensive study of the application of generally accepted accounting principles to selected assets: including cash; receivables; inventories; long-lived assets; and intangibles. Prerequisite(s): ACC 1002; and ENT 1020; FIN 1001; IDS 1020; and MAR 1001 may be taken as prerequisite or corequisite."
"90484","1101","ACC","311","Wilf","Intermediate Accounting I","3","Davis; Yehuda","0","30","30","0","10","10","T||R}1330}1445}FURST}","","","","","ACC1002;;ENT1020;;FIN1001;;IDS1020;;MAR1001","","Intensive study of the application of generally accepted accounting principles to selected assets: including cash; receivables; inventories; long-lived assets; and intangibles. Prerequisite(s): ACC 1002; and ENT 1020; FIN 1001; IDS 1020; and MAR 1001 may be taken as prerequisite or corequisite. Section information text: Not Open to MYP Students."
"92084","1101","ACC","331","Wilf","Intermediate Accounting I","3","Davis; Yehuda","0","30","30","0","10","10","T||R}1500}1615}FURST}","","","","","ACC1002;;ENT1020;;FIN1001;;IDS1020;;MAR1001","","Intensive study of the application of generally accepted accounting principles to selected assets: including cash; receivables; inventories; long-lived assets; and intangibles. Prerequisite(s): ACC 1002; and ENT 1020; FIN 1001; IDS 1020; and MAR 1001 may be taken as prerequisite or corequisite."
"90425","1101","ACC","A","Beren","Intermediate Accounting I","3","Rotenstein; Aliza","0","20","20","0","5","5","M||W}0900}1015}LEX215}","","","","","ACC1002;;ENT1020;;FIN1001;;IDS1020;;MAR1001","","Intensive study of the application of generally accepted accounting principles to selected assets: including cash; receivables; inventories; long-lived assets; and intangibles. Prerequisite(s): ACC 1002; and ENT 1020; FIN 1001; IDS 1020; and MAR 1001 may be taken as prerequisite or corequisite."
"90485","2403","ACC","241","Wilf","Management Accounting","3","Huang; Henry","0","30","30","0","10","10","M||W}1630}1745}BELFHL}","","","","","ACC1002","","Techniques used in decision making for management and financial reporting; product and service costing systems; overhead allocation; standard costs for control and analysis; cost-volume-profit analysis; short-term decision making; and performance evaluation. Prerequisite(s): ACC 1002; and foundation courses may be taken as prerequisites or corequisites."
"90581","2625","ACC","261","Wilf","Accounting Information Systems","3","Crawford; Constance J.","0","30","30","0","10","10","M||W}1845}2000}GLUECK}","","","ACC1002;;ACC1101","","","","This course is an introduction to the subject of accounting information systems; including their design; control; and use. The course gives attention to control procedures and methods for manual and computerized systems by major transaction cycles. Prerequisite(s): ACC 1002; Foundation courses and ACC 1101 may be take as a prerequisite or corequisite."
"93223","2625","ACC","262","Wilf","Accounting Information Systems","3","Rava; Ariel","0","30","30","0","10","10","T||R}1500}1615}GLUECK}G417","","","ACC1002;;ACC1101","","","","This course is an introduction to the subject of accounting information systems; including their design; control; and use. The course gives attention to control procedures and methods for manual and computerized systems by major transaction cycles. Prerequisite(s): ACC 1002; Foundation courses and ACC 1101 may be take as a prerequisite or corequisite."
"90466","2625","ACC","L","Beren","Accounting Information Systems","3","Rava; Ariel","0","30","30","0","5","5","T||R}1150}1305}SCW}319","","","ACC1002;;ACC1101","","","","This course is an introduction to the subject of accounting information systems; including their design; control; and use. The course gives attention to control procedures and methods for manual and computerized systems by major transaction cycles. Prerequisite(s): ACC 1002; Foundation courses and ACC 1101 may be take as a prerequisite or corequisite."
